File Name,Pitch Data,Normalized Pitch Data
87.mid,"67,69,67,69,67,67,67,69,72,72,74,72,72,71,72,74,76,74,76,76,74,74,72,74,72,74,76,72,72,71,67,69,67,65,69,72,74,72,71,71,72,74,72,74,74,72,72,74,72,72,71,69,72,72,71,72,69,67,69,67,67,74,76,77,76,74,76,74,74,79,77,76,77,74,72,74,76,74,74,76,74,74,72,72,71,71,72,74,74,74,76,74,72,69,72,71,72,67,69,67,67,69,69,65,69,67,67,69,67,67","0.42857142857142855,0.5,0.42857142857142855,0.5,0.42857142857142855,0.42857142857142855,0.42857142857142855,0.5,0.6071428571428571,0.6071428571428571,0.6785714285714286,0.6071428571428571,0.6071428571428571,0.5714285714285714,0.6071428571428571,0.6785714285714286,0.75,0.6785714285714286,0.75,0.75,0.6785714285714286,0.6785714285714286,0.6071428571428571,0.6785714285714286,0.6071428571428571,0.6785714285714286,0.75,0.6071428571428571,0.6071428571428571,0.5714285714285714,0.42857142857142855,0.5,0.42857142857142855,0.35714285714285715,0.5,0.6071428571428571,0.6785714285714286,0.6071428571428571,0.5714285714285714,0.5714285714285714,0.6071428571428571,0.6785714285714286,0.6071428571428571,0.6785714285714286,0.6785714285714286,0.6071428571428571,0.6071428571428571,0.6785714285714286,0.6071428571428571,0.6071428571428571,0.5714285714285714,0.5,0.6071428571428571,0.6071428571428571,0.5714285714285714,0.6071428571428571,0.5,0.42857142857142855,0.5,0.42857142857142855,0.42857142857142855,0.6785714285714286,0.75,0.7857142857142857,0.75,0.6785714285714286,0.75,0.6785714285714286,0.6785714285714286,0.8571428571428571,0.7857142857142857,0.75,0.7857142857142857,0.6785714285714286,0.6071428571428571,0.6785714285714286,0.75,0.6785714285714286,0.6785714285714286,0.75,0.6785714285714286,0.6785714285714286,0.6071428571428571,0.6071428571428571,0.5714285714285714,0.5714285714285714,0.6071428571428571,0.6785714285714286,0.6785714285714286,0.6785714285714286,0.75,0.6785714285714286,0.6071428571428571,0.5,0.6071428571428571,0.5714285714285714,0.6071428571428571,0.42857142857142855,0.5,0.42857142857142855,0.42857142857142855,0.5,0.5,0.35714285714285715,0.5,0.42857142857142855,0.42857142857142855,0.5,0.42857142857142855,0.42857142857142855"
88.mid,"74,76,77,76,74,72,74,72,72,71,72,72,72","0.6785714285714286,0.75,0.7857142857142857,0.75,0.6785714285714286,0.6071428571428571,0.6785714285714286,0.6071428571428571,0.6071428571428571,0.5714285714285714,0.6071428571428571,0.6071428571428571,0.6071428571428571"
89.mid,"62,69,72,69,69,69,69,69,72,69,69,67,69,72,74,72,69,72,71,67,69,69,71,72,71,72,71,69,67,69,72,74,76,74,74,74,72,74,76,72,74,72,69,67,69,71,72,69,71,72,71,69,67,69,69,67,69,67,67,65,67,69,67,69,69,67,67,67,69,72,69,67,69,69,67,65,67,69,67,69,67,65,67,69,67,65,65,64,62,65,62,67,65,67,62,65,65,65,64,62,64,65,62","0.25,0.5,0.6071428571428571,0.5,0.5,0.5,0.5,0.5,0.6071428571428571,0.5,0.5,0.42857142857142855,0.5,0.6071428571428571,0.6785714285714286,0.6071428571428571,0.5,0.6071428571428571,0.5714285714285714,0.42857142857142855,0.5,0.5,0.5714285714285714,0.6071428571428571,0.5714285714285714,0.6071428571428571,0.5714285714285714,0.5,0.42857142857142855,0.5,0.6071428571428571,0.6785714285714286,0.75,0.6785714285714286,0.6785714285714286,0.6785714285714286,0.6071428571428571,0.6785714285714286,0.75,0.6071428571428571,0.6785714285714286,0.6071428571428571,0.5,0.42857142857142855,0.5,0.5714285714285714,0.6071428571428571,0.5,0.5714285714285714,0.6071428571428571,0.5714285714285714,0.5,0.42857142857142855,0.5,0.5,0.42857142857142855,0.5,0.42857142857142855,0.42857142857142855,0.35714285714285715,0.42857142857142855,0.5,0.42857142857142855,0.5,0.5,0.42857142857142855,0.42857142857142855,0.42857142857142855,0.5,0.6071428571428571,0.5,0.42857142857142855,0.5,0.5,0.42857142857142855,0.35714285714285715,0.42857142857142855,0.5,0.42857142857142855,0.5,0.42857142857142855,0.35714285714285715,0.42857142857142855,0.5,0.42857142857142855,0.35714285714285715,0.35714285714285715,0.32142857142857145,0.25,0.35714285714285715,0.25,0.42857142857142855,0.35714285714285715,0.42857142857142855,0.25,0.35714285714285715,0.35714285714285715,0.35714285714285715,0.32142857142857145,0.25,0.32142857142857145,0.35714285714285715,0.25"
90.mid,"67,69,72,72,72,72,72,72,71,69,72,72,67,67,69,67,69,72,72,74,72,72,71,72,71,72,69,72,69,69,67,69,69,72,69,72,69,65,67,69,72,69,72,69,67,67,65,65,64,62,67,69,72,72,71,72,74,72,69,69,67,69,72,71,72,71,72,72,71,69,72,74,74,76,74,72,72,71,72,71,69,67,69,67,69,72,72,65,69,65,67,67,69,71,72,71,69,72,67,69,72,69,67,64,67,64,65,65,64","0.42857142857142855,0.5,0.6071428571428571,0.6071428571428571,0.6071428571428571,0.6071428571428571,0.6071428571428571,0.6071428571428571,0.5714285714285714,0.5,0.6071428571428571,0.6071428571428571,0.42857142857142855,0.42857142857142855,0.5,0.42857142857142855,0.5,0.6071428571428571,0.6071428571428571,0.6785714285714286,0.6071428571428571,0.6071428571428571,0.5714285714285714,0.6071428571428571,0.5714285714285714,0.6071428571428571,0.5,0.6071428571428571,0.5,0.5,0.42857142857142855,0.5,0.5,0.6071428571428571,0.5,0.6071428571428571,0.5,0.35714285714285715,0.42857142857142855,0.5,0.6071428571428571,0.5,0.6071428571428571,0.5,0.42857142857142855,0.42857142857142855,0.35714285714285715,0.35714285714285715,0.32142857142857145,0.25,0.42857142857142855,0.5,0.6071428571428571,0.6071428571428571,0.5714285714285714,0.6071428571428571,0.6785714285714286,0.6071428571428571,0.5,0.5,0.42857142857142855,0.5,0.6071428571428571,0.5714285714285714,0.6071428571428571,0.5714285714285714,0.6071428571428571,0.6071428571428571,0.5714285714285714,0.5,0.6071428571428571,0.6785714285714286,0.6785714285714286,0.75,0.6785714285714286,0.6071428571428571,0.6071428571428571,0.5714285714285714,0.6071428571428571,0.5714285714285714,0.5,0.42857142857142855,0.5,0.42857142857142855,0.5,0.6071428571428571,0.6071428571428571,0.35714285714285715,0.5,0.35714285714285715,0.42857142857142855,0.42857142857142855,0.5,0.5714285714285714,0.6071428571428571,0.5714285714285714,0.5,0.6071428571428571,0.42857142857142855,0.5,0.6071428571428571,0.5,0.42857142857142855,0.32142857142857145,0.42857142857142855,0.32142857142857145,0.35714285714285715,0.35714285714285715,0.32142857142857145"
91.mid,"69,69,67,69,67,67,65,65,67,69,67,69,72,69,71,72,69,67,65,64,64,65,67,65,67,67,65,65,69,72,69,69,67,67,69,69,67,65,64,64,65,67,65,67,67,65,65,67,67,64,65,62,62,65,64,62,69,71,72,71,69,67,69,72,76,72,74,77,77,77,76,74,74,71,74,76,74,72,72,71,69,72,69,69,69,69,72,71,72,74,72,71,69,74,72,72,69,72,72,72,71,69,71,72,69,65,67,69,69,67,65,67,69,69,67,65,67,69,67,69,69,67,69,67,65,67,69,67,67,65,64,65,67,65,67,65,67,64,65,65,62,67,65,65,62,65,65,65,64,62,64,65,62,65,67,69,67,69,67,65,67,65,65,69,67,65,67,65,64,62,64,65,64,65,64,62","0.5,0.5,0.42857142857142855,0.5,0.42857142857142855,0.42857142857142855,0.35714285714285715,0.35714285714285715,0.42857142857142855,0.5,0.42857142857142855,0.5,0.6071428571428571,0.5,0.5714285714285714,0.6071428571428571,0.5,0.42857142857142855,0.35714285714285715,0.32142857142857145,0.32142857142857145,0.35714285714285715,0.42857142857142855,0.35714285714285715,0.42857142857142855,0.42857142857142855,0.35714285714285715,0.35714285714285715,0.5,0.6071428571428571,0.5,0.5,0.42857142857142855,0.42857142857142855,0.5,0.5,0.42857142857142855,0.35714285714285715,0.32142857142857145,0.32142857142857145,0.35714285714285715,0.42857142857142855,0.35714285714285715,0.42857142857142855,0.42857142857142855,0.35714285714285715,0.35714285714285715,0.42857142857142855,0.42857142857142855,0.32142857142857145,0.35714285714285715,0.25,0.25,0.35714285714285715,0.32142857142857145,0.25,0.5,0.5714285714285714,0.6071428571428571,0.5714285714285714,0.5,0.42857142857142855,0.5,0.6071428571428571,0.75,0.6071428571428571,0.6785714285714286,0.7857142857142857,0.7857142857142857,0.7857142857142857,0.75,0.6785714285714286,0.6785714285714286,0.5714285714285714,0.6785714285714286,0.75,0.6785714285714286,0.6071428571428571,0.6071428571428571,0.5714285714285714,0.5,0.6071428571428571,0.5,0.5,0.5,0.5,0.6071428571428571,0.5714285714285714,0.6071428571428571,0.6785714285714286,0.6071428571428571,0.5714285714285714,0.5,0.6785714285714286,0.6071428571428571,0.6071428571428571,0.5,0.6071428571428571,0.6071428571428571,0.6071428571428571,0.5714285714285714,0.5,0.5714285714285714,0.6071428571428571,0.5,0.35714285714285715,0.42857142857142855,0.5,0.5,0.42857142857142855,0.35714285714285715,0.42857142857142855,0.5,0.5,0.42857142857142855,0.35714285714285715,0.42857142857142855,0.5,0.42857142857142855,0.5,0.5,0.42857142857142855,0.5,0.42857142857142855,0.35714285714285715,0.42857142857142855,0.5,0.42857142857142855,0.42857142857142855,0.35714285714285715,0.32142857142857145,0.35714285714285715,0.42857142857142855,0.35714285714285715,0.42857142857142855,0.35714285714285715,0.42857142857142855,0.32142857142857145,0.35714285714285715,0.35714285714285715,0.25,0.42857142857142855,0.35714285714285715,0.35714285714285715,0.25,0.35714285714285715,0.35714285714285715,0.35714285714285715,0.32142857142857145,0.25,0.32142857142857145,0.35714285714285715,0.25,0.35714285714285715,0.42857142857142855,0.5,0.42857142857142855,0.5,0.42857142857142855,0.35714285714285715,0.42857142857142855,0.35714285714285715,0.35714285714285715,0.5,0.42857142857142855,0.35714285714285715,0.42857142857142855,0.35714285714285715,0.32142857142857145,0.25,0.32142857142857145,0.35714285714285715,0.32142857142857145,0.35714285714285715,0.32142857142857145,0.25"
92.mid,"64,64,62,64,67,69,67,69,69,72,69,69,67,67,69,69,72,71,72,74,72,69,67,69,67,65,64,64,65,67,65,67,67,65,65,67,67,64,65,62,62,65,62,62,65,65,62,64,65,65,62,65,67,69,67,69,67,67,72,71,71,69,71,71,69,65,67,69,69,67,69,67,65,65,67,71,69,67,65,69,69,67,69,65,65,67,71,69,67,67,67,71,67,71,71,69,67,67,65,67,69,65,64,62,65,67,69,65,65,64,62,64,65,64,65,64,62","0.32142857142857145,0.32142857142857145,0.25,0.32142857142857145,0.42857142857142855,0.5,0.42857142857142855,0.5,0.5,0.6071428571428571,0.5,0.5,0.42857142857142855,0.42857142857142855,0.5,0.5,0.6071428571428571,0.5714285714285714,0.6071428571428571,0.6785714285714286,0.6071428571428571,0.5,0.42857142857142855,0.5,0.42857142857142855,0.35714285714285715,0.32142857142857145,0.32142857142857145,0.35714285714285715,0.42857142857142855,0.35714285714285715,0.42857142857142855,0.42857142857142855,0.35714285714285715,0.35714285714285715,0.42857142857142855,0.42857142857142855,0.32142857142857145,0.35714285714285715,0.25,0.25,0.35714285714285715,0.25,0.25,0.35714285714285715,0.35714285714285715,0.25,0.32142857142857145,0.35714285714285715,0.35714285714285715,0.25,0.35714285714285715,0.42857142857142855,0.5,0.42857142857142855,0.5,0.42857142857142855,0.42857142857142855,0.6071428571428571,0.5714285714285714,0.5714285714285714,0.5,0.5714285714285714,0.5714285714285714,0.5,0.35714285714285715,0.42857142857142855,0.5,0.5,0.42857142857142855,0.5,0.42857142857142855,0.35714285714285715,0.35714285714285715,0.42857142857142855,0.5714285714285714,0.5,0.42857142857142855,0.35714285714285715,0.5,0.5,0.42857142857142855,0.5,0.35714285714285715,0.35714285714285715,0.42857142857142855,0.5714285714285714,0.5,0.42857142857142855,0.42857142857142855,0.42857142857142855,0.5714285714285714,0.42857142857142855,0.5714285714285714,0.5714285714285714,0.5,0.42857142857142855,0.42857142857142855,0.35714285714285715,0.42857142857142855,0.5,0.35714285714285715,0.32142857142857145,0.25,0.35714285714285715,0.42857142857142855,0.5,0.35714285714285715,0.35714285714285715,0.32142857142857145,0.25,0.32142857142857145,0.35714285714285715,0.32142857142857145,0.35714285714285715,0.32142857142857145,0.25"
93.mid,"69,69,67,69,67,67,65,67,69,67,69,72,69,69,71,72,69,69,72,72,72,74,72,72,71,72,69,67,69,71,69,71,72,69,65,67,69,67,69,65,67,69,69,67,64,65,67,65,64,65,64,62,65,62,62,65,64,65,67,69,67,65,64,62,64,65,64,62,64,65,62,69,67,69,72,74,76,74,74,72,74,77,77,77,76,74,74,74,72,74,76,77,74,77,74,74,74,72,74,77,77,77,72,67,72,69,72,71,72,69,67,69,65,67,67,69,65,67,69,67,65,67,69,62,64,65,64,65,64,62","0.5,0.5,0.42857142857142855,0.5,0.42857142857142855,0.42857142857142855,0.35714285714285715,0.42857142857142855,0.5,0.42857142857142855,0.5,0.6071428571428571,0.5,0.5,0.5714285714285714,0.6071428571428571,0.5,0.5,0.6071428571428571,0.6071428571428571,0.6071428571428571,0.6785714285714286,0.6071428571428571,0.6071428571428571,0.5714285714285714,0.6071428571428571,0.5,0.42857142857142855,0.5,0.5714285714285714,0.5,0.5714285714285714,0.6071428571428571,0.5,0.35714285714285715,0.42857142857142855,0.5,0.42857142857142855,0.5,0.35714285714285715,0.42857142857142855,0.5,0.5,0.42857142857142855,0.32142857142857145,0.35714285714285715,0.42857142857142855,0.35714285714285715,0.32142857142857145,0.35714285714285715,0.32142857142857145,0.25,0.35714285714285715,0.25,0.25,0.35714285714285715,0.32142857142857145,0.35714285714285715,0.42857142857142855,0.5,0.42857142857142855,0.35714285714285715,0.32142857142857145,0.25,0.32142857142857145,0.35714285714285715,0.32142857142857145,0.25,0.32142857142857145,0.35714285714285715,0.25,0.5,0.42857142857142855,0.5,0.6071428571428571,0.6785714285714286,0.75,0.6785714285714286,0.6785714285714286,0.6071428571428571,0.6785714285714286,0.7857142857142857,0.7857142857142857,0.7857142857142857,0.75,0.6785714285714286,0.6785714285714286,0.6785714285714286,0.6071428571428571,0.6785714285714286,0.75,0.7857142857142857,0.6785714285714286,0.7857142857142857,0.6785714285714286,0.6785714285714286,0.6785714285714286,0.6071428571428571,0.6785714285714286,0.7857142857142857,0.7857142857142857,0.7857142857142857,0.6071428571428571,0.42857142857142855,0.6071428571428571,0.5,0.6071428571428571,0.5714285714285714,0.6071428571428571,0.5,0.42857142857142855,0.5,0.35714285714285715,0.42857142857142855,0.42857142857142855,0.5,0.35714285714285715,0.42857142857142855,0.5,0.42857142857142855,0.35714285714285715,0.42857142857142855,0.5,0.25,0.32142857142857145,0.35714285714285715,0.32142857142857145,0.35714285714285715,0.32142857142857145,0.25"
94.mid,"69,72,71,72,74,72,72,72,74,74,72,72,74,77,72,74,72,72,71,72,74,76,77,74,77,72,74,77,77,77,79,79,76,77,77,74,74,76,77,76,77,76,74,74,77,74,77,74,77,74,77,74,72,74,72,74,77,76,74,74,77,76,74,72,72,74,77,74,77,74,74,77,74,72,74,74,72,74,77,76,74,74,72,74,72,69,69,69,72,74,77,74,77,72,69,72,77,74,74,77,74,74","0.5,0.6071428571428571,0.5714285714285714,0.6071428571428571,0.6785714285714286,0.6071428571428571,0.6071428571428571,0.6071428571428571,0.6785714285714286,0.6785714285714286,0.6071428571428571,0.6071428571428571,0.6785714285714286,0.7857142857142857,0.6071428571428571,0.6785714285714286,0.6071428571428571,0.6071428571428571,0.5714285714285714,0.6071428571428571,0.6785714285714286,0.75,0.7857142857142857,0.6785714285714286,0.7857142857142857,0.6071428571428571,0.6785714285714286,0.7857142857142857,0.7857142857142857,0.7857142857142857,0.8571428571428571,0.8571428571428571,0.75,0.7857142857142857,0.7857142857142857,0.6785714285714286,0.6785714285714286,0.75,0.7857142857142857,0.75,0.7857142857142857,0.75,0.6785714285714286,0.6785714285714286,0.7857142857142857,0.6785714285714286,0.7857142857142857,0.6785714285714286,0.7857142857142857,0.6785714285714286,0.7857142857142857,0.6785714285714286,0.6071428571428571,0.6785714285714286,0.6071428571428571,0.6785714285714286,0.7857142857142857,0.75,0.6785714285714286,0.6785714285714286,0.7857142857142857,0.75,0.6785714285714286,0.6071428571428571,0.6071428571428571,0.6785714285714286,0.7857142857142857,0.6785714285714286,0.7857142857142857,0.6785714285714286,0.6785714285714286,0.7857142857142857,0.6785714285714286,0.6071428571428571,0.6785714285714286,0.6785714285714286,0.6071428571428571,0.6785714285714286,0.7857142857142857,0.75,0.6785714285714286,0.6785714285714286,0.6071428571428571,0.6785714285714286,0.6071428571428571,0.5,0.5,0.5,0.6071428571428571,0.6785714285714286,0.7857142857142857,0.6785714285714286,0.7857142857142857,0.6071428571428571,0.5,0.6071428571428571,0.7857142857142857,0.6785714285714286,0.6785714285714286,0.7857142857142857,0.6785714285714286,0.6785714285714286"
95.mid,"64,69,64,67,67,67,64,67,67,67,64,62,64,65,64,60,67,69,72,72,72,71,67,69,67,69,67,65,67,67,65,69,69,72,69,72,72,71,67,69,67,64,67,64,67,65,64,65,64,65,64,65,62,62,60,60,60,60,62,65,65,67,69,69,67,69,67,64","0.32142857142857145,0.5,0.32142857142857145,0.42857142857142855,0.42857142857142855,0.42857142857142855,0.32142857142857145,0.42857142857142855,0.42857142857142855,0.42857142857142855,0.32142857142857145,0.25,0.32142857142857145,0.35714285714285715,0.32142857142857145,0.17857142857142858,0.42857142857142855,0.5,0.6071428571428571,0.6071428571428571,0.6071428571428571,0.5714285714285714,0.42857142857142855,0.5,0.42857142857142855,0.5,0.42857142857142855,0.35714285714285715,0.42857142857142855,0.42857142857142855,0.35714285714285715,0.5,0.5,0.6071428571428571,0.5,0.6071428571428571,0.6071428571428571,0.5714285714285714,0.42857142857142855,0.5,0.42857142857142855,0.32142857142857145,0.42857142857142855,0.32142857142857145,0.42857142857142855,0.35714285714285715,0.32142857142857145,0.35714285714285715,0.32142857142857145,0.35714285714285715,0.32142857142857145,0.35714285714285715,0.25,0.25,0.17857142857142858,0.17857142857142858,0.17857142857142858,0.17857142857142858,0.25,0.35714285714285715,0.35714285714285715,0.42857142857142855,0.5,0.5,0.42857142857142855,0.5,0.42857142857142855,0.32142857142857145"
96.mid,"62,60,65,67,69,67,69,67,65,65,65,67,65,62,60,65,67,69,67,65,65,65,67,69,67,71,69,65,65,67,71,67,71,67,62,65,69,69,71,65,64,62,65,62,62,60,60,62,65,67,65,65,64,67,67,71,67,65,65,69,69,65,67,69,67,65","0.25,0.17857142857142858,0.35714285714285715,0.42857142857142855,0.5,0.42857142857142855,0.5,0.42857142857142855,0.35714285714285715,0.35714285714285715,0.35714285714285715,0.42857142857142855,0.35714285714285715,0.25,0.17857142857142858,0.35714285714285715,0.42857142857142855,0.5,0.42857142857142855,0.35714285714285715,0.35714285714285715,0.35714285714285715,0.42857142857142855,0.5,0.42857142857142855,0.5714285714285714,0.5,0.35714285714285715,0.35714285714285715,0.42857142857142855,0.5714285714285714,0.42857142857142855,0.5714285714285714,0.42857142857142855,0.25,0.35714285714285715,0.5,0.5,0.5714285714285714,0.35714285714285715,0.32142857142857145,0.25,0.35714285714285715,0.25,0.25,0.17857142857142858,0.17857142857142858,0.25,0.35714285714285715,0.42857142857142855,0.35714285714285715,0.35714285714285715,0.32142857142857145,0.42857142857142855,0.42857142857142855,0.5714285714285714,0.42857142857142855,0.35714285714285715,0.35714285714285715,0.5,0.5,0.35714285714285715,0.42857142857142855,0.5,0.42857142857142855,0.35714285714285715"
97.mid,"62,60,65,67,71,67,71,69,65,65,67,62,60,65,67,69,67,65,65,65,67,71,67,71,69,65,67,71,69,71,69,62,69,69,71,65,64,62,65,62,62,60,60,62,65,65,65,67,65,65,62,67,67,69,67,65,65","0.25,0.17857142857142858,0.35714285714285715,0.42857142857142855,0.5714285714285714,0.42857142857142855,0.5714285714285714,0.5,0.35714285714285715,0.35714285714285715,0.42857142857142855,0.25,0.17857142857142858,0.35714285714285715,0.42857142857142855,0.5,0.42857142857142855,0.35714285714285715,0.35714285714285715,0.35714285714285715,0.42857142857142855,0.5714285714285714,0.42857142857142855,0.5714285714285714,0.5,0.35714285714285715,0.42857142857142855,0.5714285714285714,0.5,0.5714285714285714,0.5,0.25,0.5,0.5,0.5714285714285714,0.35714285714285715,0.32142857142857145,0.25,0.35714285714285715,0.25,0.25,0.17857142857142858,0.17857142857142858,0.25,0.35714285714285715,0.35714285714285715,0.35714285714285715,0.42857142857142855,0.35714285714285715,0.35714285714285715,0.25,0.42857142857142855,0.42857142857142855,0.5,0.42857142857142855,0.35714285714285715,0.35714285714285715"
98.mid,"62,65,62,62,60,65,67,65,67,69,69,69,69,72,69,67,69,67,69,67,65,64,65,67,65,64,62,62,62,65,62,62,60,65,69,65,67,69,69,69,67,65,67,65,64,62,60,62,65,64,62,62,69,69,69,67,67,65,67,69,67","0.25,0.35714285714285715,0.25,0.25,0.17857142857142858,0.35714285714285715,0.42857142857142855,0.35714285714285715,0.42857142857142855,0.5,0.5,0.5,0.5,0.6071428571428571,0.5,0.42857142857142855,0.5,0.42857142857142855,0.5,0.42857142857142855,0.35714285714285715,0.32142857142857145,0.35714285714285715,0.42857142857142855,0.35714285714285715,0.32142857142857145,0.25,0.25,0.25,0.35714285714285715,0.25,0.25,0.17857142857142858,0.35714285714285715,0.5,0.35714285714285715,0.42857142857142855,0.5,0.5,0.5,0.42857142857142855,0.35714285714285715,0.42857142857142855,0.35714285714285715,0.32142857142857145,0.25,0.17857142857142858,0.25,0.35714285714285715,0.32142857142857145,0.25,0.25,0.5,0.5,0.5,0.42857142857142855,0.42857142857142855,0.35714285714285715,0.42857142857142855,0.5,0.42857142857142855"
99.mid,"60,60,62,62,62,65,64,62,64,64,62,69,64,65,64,62,65,62,60,62,62,62,62,60,57,60,62,65,64,62,64,64,62,67,67,69,64,65,64,62,65,60,62,62,60,65,64,62,64,65,64,62,60,62,62","0.17857142857142858,0.17857142857142858,0.25,0.25,0.25,0.35714285714285715,0.32142857142857145,0.25,0.32142857142857145,0.32142857142857145,0.25,0.5,0.32142857142857145,0.35714285714285715,0.32142857142857145,0.25,0.35714285714285715,0.25,0.17857142857142858,0.25,0.25,0.25,0.25,0.17857142857142858,0.07142857142857142,0.17857142857142858,0.25,0.35714285714285715,0.32142857142857145,0.25,0.32142857142857145,0.32142857142857145,0.25,0.42857142857142855,0.42857142857142855,0.5,0.32142857142857145,0.35714285714285715,0.32142857142857145,0.25,0.35714285714285715,0.17857142857142858,0.25,0.25,0.17857142857142858,0.35714285714285715,0.32142857142857145,0.25,0.32142857142857145,0.35714285714285715,0.32142857142857145,0.25,0.17857142857142858,0.25,0.25"
100.mid,"69,65,62,64,65,67,67,69,67,67,69,67,65,69,65,67,72,72,71,69,65,67,67,69,67,65,67,69,69,69,72,71,67,65,69,67,69,67,65,65,62,64,65,67,69,67,67","0.5,0.35714285714285715,0.25,0.32142857142857145,0.35714285714285715,0.42857142857142855,0.42857142857142855,0.5,0.42857142857142855,0.42857142857142855,0.5,0.42857142857142855,0.35714285714285715,0.5,0.35714285714285715,0.42857142857142855,0.6071428571428571,0.6071428571428571,0.5714285714285714,0.5,0.35714285714285715,0.42857142857142855,0.42857142857142855,0.5,0.42857142857142855,0.35714285714285715,0.42857142857142855,0.5,0.5,0.5,0.6071428571428571,0.5714285714285714,0.42857142857142855,0.35714285714285715,0.5,0.42857142857142855,0.5,0.42857142857142855,0.35714285714285715,0.35714285714285715,0.25,0.32142857142857145,0.35714285714285715,0.42857142857142855,0.5,0.42857142857142855,0.42857142857142855"
101.mid,"67,69,72,69,67,65,67,69,67,71,72,74,76,74,72,71,74,72,71,72,69,65,69,72,71,67,67,67,65,69,65,64,65,69,69,65,65,64,62,69,62,62,64,65,67,67,67,69,69,67,65,67,69,69,67,65,65,62,64,65,67,69,67,67","0.42857142857142855,0.5,0.6071428571428571,0.5,0.42857142857142855,0.35714285714285715,0.42857142857142855,0.5,0.42857142857142855,0.5714285714285714,0.6071428571428571,0.6785714285714286,0.75,0.6785714285714286,0.6071428571428571,0.5714285714285714,0.6785714285714286,0.6071428571428571,0.5714285714285714,0.6071428571428571,0.5,0.35714285714285715,0.5,0.6071428571428571,0.5714285714285714,0.42857142857142855,0.42857142857142855,0.42857142857142855,0.35714285714285715,0.5,0.35714285714285715,0.32142857142857145,0.35714285714285715,0.5,0.5,0.35714285714285715,0.35714285714285715,0.32142857142857145,0.25,0.5,0.25,0.25,0.32142857142857145,0.35714285714285715,0.42857142857142855,0.42857142857142855,0.42857142857142855,0.5,0.5,0.42857142857142855,0.35714285714285715,0.42857142857142855,0.5,0.5,0.42857142857142855,0.35714285714285715,0.35714285714285715,0.25,0.32142857142857145,0.35714285714285715,0.42857142857142855,0.5,0.42857142857142855,0.42857142857142855"
102.mid,"65,65,65,65,65,65,67,65,65,65,67,65,67,69,69,69,67,67,65,65,65,65,67,67,65,65","0.35714285714285715,0.35714285714285715,0.35714285714285715,0.35714285714285715,0.35714285714285715,0.35714285714285715,0.42857142857142855,0.35714285714285715,0.35714285714285715,0.35714285714285715,0.42857142857142855,0.35714285714285715,0.42857142857142855,0.5,0.5,0.5,0.42857142857142855,0.42857142857142855,0.35714285714285715,0.35714285714285715,0.35714285714285715,0.35714285714285715,0.42857142857142855,0.42857142857142855,0.35714285714285715,0.35714285714285715"
103.mid,"67,67,67,67,67,67,67,65,67,69,72,72,72,67,71,72,69,67,69,67,65,65,67,65,67,69,72,72,74,71,72,69,67,67,65,62,64,65,67,65,67,69,69,67,67,72,72,71,72,69,67","0.42857142857142855,0.42857142857142855,0.42857142857142855,0.42857142857142855,0.42857142857142855,0.42857142857142855,0.42857142857142855,0.35714285714285715,0.42857142857142855,0.5,0.6071428571428571,0.6071428571428571,0.6071428571428571,0.42857142857142855,0.5714285714285714,0.6071428571428571,0.5,0.42857142857142855,0.5,0.42857142857142855,0.35714285714285715,0.35714285714285715,0.42857142857142855,0.35714285714285715,0.42857142857142855,0.5,0.6071428571428571,0.6071428571428571,0.6785714285714286,0.5714285714285714,0.6071428571428571,0.5,0.42857142857142855,0.42857142857142855,0.35714285714285715,0.25,0.32142857142857145,0.35714285714285715,0.42857142857142855,0.35714285714285715,0.42857142857142855,0.5,0.5,0.42857142857142855,0.42857142857142855,0.6071428571428571,0.6071428571428571,0.5714285714285714,0.6071428571428571,0.5,0.42857142857142855"
104.mid,"65,67,65,67,67,69,69,69,67,67,65,65,65,65,67,67,65,65","0.35714285714285715,0.42857142857142855,0.35714285714285715,0.42857142857142855,0.42857142857142855,0.5,0.5,0.5,0.42857142857142855,0.42857142857142855,0.35714285714285715,0.35714285714285715,0.35714285714285715,0.35714285714285715,0.42857142857142855,0.42857142857142855,0.35714285714285715,0.35714285714285715"
105.mid,"69,69,67,65,67,67,69","0.5,0.5,0.42857142857142855,0.35714285714285715,0.42857142857142855,0.42857142857142855,0.5"
106.mid,"60,60,62,62,60,64,65,62,65,67,69,69,69,67,69,67,64,65,64,62,62,64,65,67,67,69,67,65,62,65,65,64,62,60,60,65,62,62,69,69,69,67,67,65,67,69,67,65,62","0.17857142857142858,0.17857142857142858,0.25,0.25,0.17857142857142858,0.32142857142857145,0.35714285714285715,0.25,0.35714285714285715,0.42857142857142855,0.5,0.5,0.5,0.42857142857142855,0.5,0.42857142857142855,0.32142857142857145,0.35714285714285715,0.32142857142857145,0.25,0.25,0.32142857142857145,0.35714285714285715,0.42857142857142855,0.42857142857142855,0.5,0.42857142857142855,0.35714285714285715,0.25,0.35714285714285715,0.35714285714285715,0.32142857142857145,0.25,0.17857142857142858,0.17857142857142858,0.35714285714285715,0.25,0.25,0.5,0.5,0.5,0.42857142857142855,0.42857142857142855,0.35714285714285715,0.42857142857142855,0.5,0.42857142857142855,0.35714285714285715,0.25"
